"rgn_id","year","count"
2,1990,2338911.26247101
4,1990,5477461.89299765
3,1990,15247.5732416472
1,1990,3668047.09626379
2,1991,2416355.78731032
4,1991,5658828.08693375
3,1991,15752.4410763527
1,1991,3789501.11164968
2,1992,2508503.36777057
4,1992,5874627.15062705
3,1992,16353.1594553065
1,1992,3934013.50523996
2,1993,2601361.50356597
4,1993,6092090.25341135
3,1993,16958.5100085067
1,1993,4079640.24227527
2,1994,2698764.64605201
4,1994,6320197.2405323
3,1994,17593.4898698006
1,1994,4232394.78225958
2,1995,2805389.71040596
4,1995,6569900.91087171
3,1995,18288.5882705901
1,1995,4399611.79641824
2,1996,2912455.90706161
4,1996,6820637.66246181
3,1996,18986.5624525977
1,1996,4567520.62564669
2,1997,3030642.98457927
4,1997,7097418.24141537
3,1997,19757.0346588681
1,1997,4752870.01168819
2,1998,3149084.81811794
4,1998,7374795.42974848
3,1998,20529.1676425915
1,1998,4938618.92425219
2,1999,3278440.61164064
4,1999,7677731.86048358
3,1999,21372.4497147318
1,1999,5141483.88558235
2,2000,3406949.87933341
4,2000,7978685.8248253
3,2000,22210.2132087199
1,2000,5343021.26486087
2,2001,3516543.05435201
4,2001,8235340.4698856
3,2001,22924.6609903409
1,2001,5514893.08139684
2,2002,3571451.46935134
4,2002,8363929.67957026
3,2002,23282.6138946339
1,2002,5601004.36549316
2,2003,3524437.5475712
4,2003,8253828.46747083
3,2003,22976.1259028824
1,2003,5527273.78749448
2,2004,3449230.62417003
4,2004,8077702.47943984
3,2004,22485.8451935463
1,2004,5409328.93792838
2,2005,3592402.83037292
4,2005,8412995.36386686
3,2005,23419.197704723
1,2005,5633861.7809031
2,2006,3696068.15832054
4,2006,8655767.67103781
3,2006,24095.0013172256
1,2006,5796437.12579232
2,2007,3689399.33754843
4,2007,8640150.05773345
3,2007,24051.5266737922
1,2007,5785978.60645422
2,2008,3804792.57712532
4,2008,8910387.7886956
3,2008,24803.785598819
1,2008,5966946.49700656
2,2009,3722241.64020874
4,2009,8717062.9634031
3,2009,24265.6286037253
1,2009,5837484.24279054
2,2010,3666284.84863008
4,2010,8586018.57602318
3,2010,23900.8412380594
1,2010,5749728.81993218
2,2011,3715618.50537231
4,2011,8701552.34131973
3,2011,24222.4517910227
1,2011,5827097.37138813
2,2012,3800742.77431021
4,2012,8900903.61503331
3,2012,24777.3845694048
1,2012,5960595.30801757
